TI:,7071,0001,7,CYL,P,1,53425,53445,2,,P,,,052002
TI:,7071,0001,7,STP,P,1,53530,53550,2,,P,,,054002
TI:,7071,0001,7,BNK,P,1,53650,53670,6,,P,,,056006
TI:,7071,0001,7,LST,P,1,53785,53805,4,,P,,,058004
TI:,7071,0001,7,BNG,P,1,53965,53985,2,,P,,,059002
TI:,7071,0001,7,MLE,P,1,54100,54120,4,,P,,,060004
TI:,7071,0001,7,SFD,P,1,54310,54330,6,,P,,,061006
TI:,7071,0001,7,LEY,P,1,54475,54495,2,,P,,,062002
TI:,7071,0001,7,LYS,P,1,54625,54675,3,,P,,,063003
TI:,7071,0001,7,SNB,P,1,54790,54810,2,,P,,,070002
TI:,7071,0001,7,SWF,P,1,54910,54930,2,,P,,,071002
TI:,7071,0001,7,WFW,T,1,,54990,0,,P,1,,072040
TI:,7071,0001,7,WFD,P,1,55060,55080,3,,P,,,073003
TI:,7071,0001,7,WDJ,J,1,,55155,0,,P,1,,074040
TI:,7071,0001,7,BHL,P,1,55210,55230,2,,P,,,089002
TI:,7071,0001,7,LTN,P,1,55360,55395,4,,P,,,091004
TI:,7071,0001,7,DEB,P,1,55525,55545,2,1,P,,,092002
TI:,7071,0001,7,THB,P,1,55720,55740,2,,P,,,093002
TL:,7071,0001,7,EPP,P,1,55905,,2,,P,,,094002
TF:,7071,0001,8,EPP,P,2,,56535,2,,P,,,094002
TI:,7071,0001,8,THB,P,2,56676,56700,1,,P,,,093001
TI:,7071,0001,8,DEB,P,2,56888,56910,1,,P,,,092001
TI:,7071,0001,8,LTN,P,2,57068,57120,1,,P,,,091001
TI:,7071,0001,8,BHL,P,2,57242,57270,1,,P,,,089001
TI:,7071,0001,8,WDJ,J,2,,57345,0,,P,1,,074050
TI:,7071,0001,8,WFD,P,2,57415,57435,2,2,P,,,073002
TI:,7071,0001,8,WFW,T,2,,57495,0,,P,1,,072050
TI:,7071,0001,8,SWF,P,2,57550,57570,1,,P,,,071001
TI:,7071,0001,8,SNB,P,2,57670,57690,1,,P,,,070001
TI:,7071,0001,8,LYS,P,2,57835,57900,2,,P,,,063002
TI:,7071,0001,8,LEY,P,2,58015,58035,1,,P,,,062001
TI:,7071,0001,8,SFD,P,2,58180,58200,3,,P,,,061003
TI:,7071,0001,8,MLE,P,2,58390,58410,1,,P,,,060001
TI:,7071,0001,8,BNG,P,2,58555,58575,1,,P,,,059001
TI:,7071,0001,8,LST,P,2,58750,58770,5,,P,,,058005
TI:,7071,0001,8,BNK,P,2,58870,58890,5,,P,,,056005
TI:,7071,0001,8,STP,P,2,58975,58995,1,,P,,,054001
TI:,7071,0001,8,CYL,P,2,59095,59115,1,,P,,,052001
TI:,7071,0001,8,HOL,P,2,59170,59190,1,,P,,,050001
TI:,7071,0001,8,TCR,P,2,59275,59295,1,,P,,,048001
TI:,7071,0001,8,OXC,P,2,59350,59370,1,,P,,,046001
TI:,7071,0001,8,BDS,P,2,59440,59460,1,,P,,,044001
TI:,7071,0001,8,MAR,P,2,59530,59550,1,,P,,,042001
TI:,7071,0001,8,LAN,P,2,59650,59670,1,,P,,,041001
TI:,7071,0001,8,QWY,P,2,59770,59790,1,,P,,,040001
TI:,7071,0001,8,NHG,P,2,59860,59880,4,,P,,,037004
TI:,7071,0001,8,HPK,P,2,59950,59970,1,,P,,,035001
TI:,7071,0001,8,SBC,P,2,60055,60075,1,,P,,,033001
TI:,7071,0001,8,WCT,P,2,60250,60300,1,,P,,,030001
TI:,7071,0001,8,EAC,P,2,60445,60465,1,,P,,,024001
TI:,7071,0001,8,NAC,P,2,60565,60585,1,,P,,,020001
TI:,7071,0001,8,NAJ,J,2,,60615,0,,P,1,,018050
TI:,7071,0001,8,HLN,P,2,60760,60780,1,,P,,,009001
TI:,7071,0001,8,PER,P,2,60910,60930,1,,P,,,008001
TI:,7071,0001,8,GFD,P,2,61045,61065,1,,P,,,007001
TI:,7071,0001,8,NHT,P,2,61195,61215,1,,P,,,006001
TI:,7071,0001,8,SRP,P,2,61345,61365,1,,P,,,005001
TI:,7071,0001,8,RUG,P,2,61450,61470,1,,P,,,004001
TL:,7071,0001,8,WRP,P,2,61635,,2,,P,,,002002
TF:,7071,0001,9,WRP,P,1,,62190,2,,P,,,002002
TI:,7071,0001,9,RUG,P,1,62316,62340,2,,P,,,004002
TI:,7071,0001,9,SRP,P,1,62410,62430,2,,P,,,005002
TI:,7071,0001,9,NHT,P,1,62573,62595,2,,P,,,006002
TI:,7071,0001,9,GFD,P,1,62708,62730,3,,P,,,007003
TI:,7071,0001,9,PER,P,1,62822,62850,2,,P,,,008002
TI:,7071,0001,9,HLN,P,1,62985,63000,2,,P,,,009002
TI:,7071,0001,9,NAJ,J,1,,63150,0,,P,1,,018040
TI:,7071,0001,9,NAC,P,1,63190,63210,3,,P,,,020003
TI:,7071,0001,9,EAC,P,1,63295,63315,2,,P,,,024002
TI:,7071,0001,9,WCT,P,1,63490,63540,4,,P,,,030004
TI:,7071,0001,9,SBC,P,1,63685,63705,2,,P,,,033002
TI:,7071,0001,9,HPK,P,1,63790,63810,2,,P,,,035002
TI:,7071,0001,9,NHG,P,1,63880,63900,3,,P,,,037003
TI:,7071,0001,9,QWY,P,1,63970,63990,2,,P,,,040002
TI:,7071,0001,9,LAN,P,1,64060,64080,2,,P,,,041002
TI:,7071,0001,9,MAR,P,1,64210,64230,2,,P,,,042002
TI:,7071,0001,9,BDS,P,1,64285,64305,2,,P,,,044002
TI:,7071,0001,9,OXC,P,1,64375,64395,2,,P,,,046002
TI:,7071,0001,9,TCR,P,1,64450,64470,2,,P,,,048002
TI:,7071,0001,9,HOL,P,1,64585,64605,2,,P,,,050002
TI:,7071,0001,9,CYL,P,1,64660,64680,2,,P,,,052002
TI:,7071,0001,9,STP,P,1,64780,64800,2,,P,,,054002
TI:,7071,0001,9,BNK,P,1,64915,64935,6,,P,,,056006
TI:,7071,0001,9,LST,P,1,65050,65070,4,,P,,,058004
TI:,7071,0001,9,BNG,P,1,65245,65265,2,,P,,,059002
TI:,7071,0001,9,MLE,P,1,65395,65415,4,,P,,,060004
TI:,7071,0001,9,SFD,P,1,65620,65640,6,,P,,,061006
TI:,7071,0001,9,LEY,P,1,65785,65805,2,,P,,,062002
TI:,7071,0001,9,LYS,P,1,65950,65970,3,,P,,,063003
TI:,7071,0001,9,SNB,P,1,66085,66105,2,,P,,,070002
TI:,7071,0001,9,SWF,P,1,66205,66225,2,,P,,,071002
TI:,7071,0001,9,WFW,T,1,,66285,0,,P,1,,072040
TI:,7071,0001,9,WFD,P,1,66355,66375,3,,P,,,073003
TI:,7071,0001,9,WDJ,J,1,,66450,0,,P,1,,074040
TI:,7071,0001,9,BHL,P,1,66505,66525,2,,P,,,089002
TI:,7071,0001,9,LTN,P,1,66655,66705,4,,P,,,091004
TI:,7071,0001,9,DEB,P,1,66835,66975,2,,E,,,092002
TL:,7071,0001,9,DEB,S,1,67035,,22,,E,,,092022
TF:,7071,0001,10,DEB,S,2,,67470,22,,E,,,092022
TI:,7071,0001,10,DEB,P,2,67508,67545,1,,P,,,092001
TI:,7071,0001,10,LTN,P,2,67703,67755,1,,P,,,091001
TI:,7071,0001,10,BHL,P,2,67877,67905,1,,P,,,089001
TI:,7071,0001,10,WDJ,J,2,,67980,0,,P,1,,074050
TI:,7071,0001,10,WFD,P,2,68065,68085,2,2,P,,,073002
TI:,7071,0001,10,WFW,T,2,,68145,0,,P,1,,072050
TI:,7071,0001,10,SWF,P,2,68200,68220,1,,P,,,071001
TI:,7071,0001,10,SNB,P,2,68320,68340,1,,P,,,070001
TI:,7071,0001,10,LYS,P,2,68515,68565,2,,P,,,063002
TI:,7071,0001,10,LEY,P,2,68680,68700,1,,P,,,062001
TI:,7071,0001,10,SFD,P,2,68845,68865,3,,P,,,061003
TI:,7071,0001,10,MLE,P,2,69055,69075,1,,P,,,060001
TI:,7071,0001,10,BNG,P,2,69220,69240,1,,P,,,059001
TI:,7071,0001,10,LST,P,2,69415,69435,5,,P,,,058005
TI:,7071,0001,10,BNK,P,2,69535,69555,5,,P,,,056005
TI:,7071,0001,10,STP,P,2,69640,69660,1,,P,,,054001
TI:,7071,0001,10,CYL,P,2,69760,69780,1,,P,,,052001
TI:,7071,0001,10,HOL,P,2,69835,69855,1,,P,,,050001
TI:,7071,0001,10,TCR,P,2,69940,69960,1,,P,,,048001
TI:,7071,0001,10,OXC,P,2,70015,70035,1,,P,,,046001
TI:,7071,0001,10,BDS,P,2,70105,70125,1,,P,,,044001
TI:,7071,0001,10,MAR,P,2,70195,70215,1,,P,,,042001
TI:,7071,0001,10,LAN,P,2,70315,70335,1,,P,,,041001
TI:,7071,0001,10,QWY,P,2,70435,70455,1,,P,,,040001
TI:,7071,0001,10,NHG,P,2,70525,70545,4,,P,,,037004
